text,label
"If you as I have a very close and long relationship with the world of Tintin....do yourself a favor and watch this beautiful documentary about Hergé and his life creating Tintin. I'ts so brilliant and a very cool production. The whole background story about Hergé and the people and also very much the many different situations he was influenced by, for good and worse is amazing. There is a very fine and obvious connection between the comic books and just this. I will for sure be in my basement digging up the Tintin albums again. Also, the movie itself are very well told and has a great ambient sound to it. I really do hope people will find this as intriguing as I did!",1
"Flynn, known mostly for his swashbuckling roles (and his bedroom antics!) takes a different tack with this film and it works beautifully. Playing real-life boxing champ Jim Corbett, Flynn turns on the charm full blast as he makes his way from a stifled San Francisco bank teller to a celebrated pugilist, all the while setting one eye on society deb Smith. He and best pal Carson attend an illegal bare-knuckle fight and are arrested along with scores of other men (and a dog!) including a prominent judge. The next day, he gets a chance, via Smith, to gain entrance to the judge's private club. He uses this opportunity to weasel his way into the good graces of its exclusive members and land a spot as the club's resident boxer. His unusually adept skill in the sport soon has him taking on all comers, up to and including the world champion John L. Sullivan (Bond.) Flynn is downright magical here. He is the epitome of charm, charisma and appeal in this role. He looks terrific (especially in a hangover scene with his hair mussed and wearing a white union suit) and does virtually all of his own stuntwork (impressively!) His line delivery is delicious and he is credible and sympathetic and at the same time duplicitous and rascally. Smith exudes class and taste from every pore and is a good match for Flynn. At this stage, he needed a female costar who could stand up to his advances and reputation (he was undergoing statutory rape charges at the time) and she does so admirably. She is repulsed by his freshness and cavalier attitude, yet can hardly help but fall under his enchanting spell. Bond is incredibly burly, brawny and towering, yet tender when the script calls for it. Amusing support is provided by a young and ebullient Carson. Frawley is his dependably cantankerous self as Flynn's manager. The rest of the cast is excellent as well including Flynn's rambunctious family and an assortment of stuffy Nob Hill types. The whole thing is beautifully appointed and securely directed. A few of the sets are amazingly presented. Some of Smith's gowns border on the garish, but she suits the upswept hairstyles very well. It's a terrific glimpse into the earliest days of championship boxing, but it's also so much more. Some of it (like the character traits shown by Flynn) is enhanced or exaggerated for entertainment purposes, but a lot of it is authentic (like the methods and costumes shown in the fight scenes.) One line is particularly memorable: ""I believe you like me more than I like you, but it's entirely possible that I love you more than you love me."" It's classic romantic dialogue (and there are more than a few zingers sprinkled throughout the script as well.)",1
"After the reasonably successful MASTI which was tad better Inder Kumar returned again with a comedy PYAARE MOHAN based on the Hollywood film SEE NO EVIL, HEAR NO EVIL <br /><br />The film reminds you of HUM HAI KAMAAL KE(1994) where Kader and Anupam play the blind and deaf<br /><br />This movie is a tedious exercise<br /><br />The film has jokes of such nonsense that you don't feel like laughing like Snehal Dabi's head getting stuck in the back of the horse and all those type comedies which we don't laugh at now but mock <br /><br />The film starts off in a clichéd manner and some scenes are funny sadly such moments don't last long as the story never moves in this half even the comedy gets boring The twist is well handled and the second half becomes an action film where the blind guy and the deaf go to rescue the heroines and we have all OTT chase scenes and fight scenes<br /><br />Direction by Inder Kumar is bad Music is okay, one song stands out I LOVE YOU MY ANGEL<br /><br />Vivek is awful in the comic scenes, his timing is very bad and is okay in serious scenes For some reason he keeps doing comedy and ruined his career Fardeen Khan is tad better but too wooden Amongst the rest Esha and Amrita are the heroines Boman Irani annoys here Snehal Dabbi is okay",0
"""Darkness"" was entertaining to some degree, but it never seemed to have a plot, lacking one more so than other films that have been accused of this detriment; i.e. ""Bad Taste"". It started off really good, with a man running from something. It was very creepy for these first few minutes, but after a time the film just became entertaining on the level of gore, which was hard to make out at some points due to poor lighting and horrible recording quality anyway. The film was hard to believe because of the juvenile acting, which most of the time, seemed like some friends talking to a video camera, making lines up as they went. That, with a lack of any plot whatsoever, made it look like the film was started without, and ended without, a script of any kind. As said before, gore was this film's only drawing point, which much of the time was hard to make out.",0
"Entertainment Tonight has been going down hill for the last few years, but as of last night (Aug 17th 2006) they reached a new low.<br /><br />In an effort to try to hype up their broadcast, they decided to post actual photos of JonBenet Ramsey's body in their teasers last night ...saying ""Pictures from the case you have never seen before"". The two photos were graphic and very disturbing. One was of the side of her face and head/neck and you could clearly see the cord that was used to strangle her around her neck, and bruising on her face. This was so hideously awful, I could not believe it. How has this got to do with ANYTHING remotely related to Hollywood Entertainment?? Nothing!! They have dropped their level of dignity and values to a new low....and it shows. This used to be THE premiere show to watch...and it's just garbage now.<br /><br />I will watch Access Hollywood from now on.",0
"Oh my... bad clothing, worse synth music and the worst: David Hasselhoff. The 80's are back with vengeance in Witchery, an American-Italian co-production, helmed by infamous Joe 'D'Amato on the production side and short-careered director (thank heavens for small miracles) Fabrizio Laurenti directing . Marketed as a kind of sequel to Sam Raimi's Evil Dead series in Italy (that was dubbed ""La Casa"" in there), Witchery delivers some modest gore groceries and bad acting.<br /><br />A mix of ghost story, possessions and witchcraft, the film bounces clueless from scene to another without letting some seriously wooden actors and hilarious day and night mix-ups slow it's progress to expectable ending, topped with some serious WTF surprise climax. (I just love the look on her face...) Surprisingly Laurenti manages to gather some suspense and air of malice in few - very few - scenes; unluckily for him, these few glimpses of mild movie magic go down quickly and effectively.<br /><br />The plus sides are experienced, when the gore hits the fan. This department is quite effective and entertaining in that classic latex and red paint style of the 80's Italo-gore, when things were made 100% hand-made and as shockingly and vivid as modest budgets could allow. I could only watch with sadistic glee and few laughters all the over-the-top ways that obnoxious characters (and actors) got mangled and misused, one by one. I only felt sorry for Linda Blair, who apparently haven't been let to try any other than that good old possessed girl / woman role ever in his career, or so it looks like when checking out his filmography.<br /><br />Well, folks - not much more to tell, and even less to tell home about. Don't expect too much when spending some rainy afternoon with this, and probably you'll experience at least some mild fun. It also helps if your rotten little heart pounds in the beat of 80's euro gore horror. And speaking of hearts - every movie that has David Hasselhoff getting skewered by a sizeable metal object and bleeding heavily around the room and corridors, MUST have it's one on the right place.<br /><br />This is my truth - what is yours?",0
"Well, the big money machine has done it again! Disney very shrewdly takes advantage of morons like myself who feel we must own every video (good or bad) stamped with the Disney moniker. Why is it that I continue to look forward to these ""sequels"" which make Don Bluth on a bad day look like Leonardo DaVinci? Cinderella 2 consists of three storylines (already a poor choice!) Doesn't one of the most endearing Disney creations at least deserve a linear story? Of these three, only the last comes anywhere near the quality of animation and storytelling that I would expect. The music is atrocious and modern (meaning in 2 years it will already be dated) and adds nothing to the story. Why does everything have to be updated? You know, the original cartoon is still popular because of its timelessness, so why not be respectful and true to the original with songs that reflect the same style? Gee, I can't wait for a sequel to Sleeping Beauty. Instead of music based on the themes of Tchaikovsky, we'll get music inspired by Britney Spears!!! So Disney, if you're listening, remember we're not all indiscriminate children out here. How about throwing a bone or two to the fans who've been around long enough to know the difference between craft and crap?",0
"This is, quite literally, the worst movie I have ever watched in my life. It may be the worst movie possible. Some movies are so bad that they're good; this movie is so bad that it goes past enjoyable camp and simply becomes unwatchably awful. It is the anti-enantiodromia. We bought it with the intent to heckle, and all of my family gathered around for a fun evening of clever remarks; instead, we sat in stunned silence, pitying poor Peter Sellers.<br /><br />This is worse than the animated Lord of the Rings. It is worse than the Matrix sequels. It is worse than Krull. It is worse than any Batman movie.<br /><br />Do not, under any circumstances, let this movie approach within ten feet of your television.",0
"The usual cat and mouse antics abound until Jerry jumps into a bottle of invisible ink. He gets the bright idea of torturing Tom without him knowing. The cat gets wise and tries to do stuff to make him 'see' jerry even if it's not fool-proof. Of course Jerry gets Butch aka Killer aka Spike the dog into the act (even if it's late in the short, and his contribution is minimal indeed) Brilliant animated short which kind of reminded me of the one with the white mouse who scares Tom so badly. Most of the gags work and all violent as any good tom and jerry short should truly be. This hilarious cartoon can be found on disc one of the Spotlight collection DVD of ""Tom & Jerry"" <br /><br />My Grade: B+",1
"THE ITALIAN is an astonishingly accomplished film for its time. Stunningly shot, with lighting effects that are truly sublime, this is an early gem that clearly reveals REGINALD BARKER to be a pioneer director of equal standing to D.W. GRIFFITH and MAURICE TOURNEUR. How much control Thomas Ince exerted over the production is hard to know, but this film still has extraordinary power. The simple story of an Italian immigrant struggling to keep his family alive in New York, is very moving. The themes of social injustice, revenge and forgiveness are completely relevant today. The use of close-ups is outstanding and the powerhouse performance of GEORGE BEBAN is electrifying. What we need now is a really good print transferred to DVD so we can truly appreciate this early masterpiece of cinema.",1
